aws_lambda_function_recursion_config	aws_lambda_function	lambda
aws_lambda_invocation	aws_lambda	lambda
aws_lb_cookie_stickiness_policy	aws_lb	elasticloadbalancingv2
aws_lb_ssl_negotiation_policy	aws_lb	elasticloadbalancingv2
aws_licensemanager_association	aws_licensemanager	licensemanager
aws_licensemanager_grant_accepter	aws_licensemanager_grant	licensemanager
aws_lightsail_disk_attachment	aws_lightsail_disk	lightsail
aws_lightsail_lb_attachment	aws_lightsail_lb	lightsail
aws_lightsail_lb_certificate_attachment	aws_lightsail_lb_certificate	lightsail
aws_lightsail_lb_https_redirection_policy	aws_lightsail_lb	lightsail
aws_lightsail_lb_stickiness_policy	aws_lightsail_lb	lightsail
aws_lightsail_static_ip_attachment	aws_lightsail_static_ip	lightsail
aws_macie2_invitation_accepter	aws_macie2	macie2
aws_media_store_container_policy	aws_media_store_container	mediastore
aws_network_acl_association	aws_network_acl	ec2
aws_network_interface_attachment	aws_network_interface	ec2
aws_network_interface_sg_attachment	aws_network_interface	ec2
aws_networkmanager_attachment_accepter	aws_networkmanager	networkmanager
aws_networkmanager_core_network_policy_attachment	aws_networkmanager_core_network	networkmanager
aws_networkmanager_customer_gateway_association	aws_networkmanager	networkmanager
aws_networkmanager_link_association	aws_networkmanager_link	networkmanager
aws_networkmanager_transit_gateway_connect_peer_association	aws_networkmanager_transit_gateway	networkmanager
aws_opensearch_authorize_vpc_endpoint_access	aws_opensearch	opensearch
aws_opensearch_inbound_connection_accepter	aws_opensearch	opensearch
aws_opsworks_permission	aws_opsworks	opsworks
aws_organizations_resource_policy	aws_organizations	organizations
aws_paymentcryptography_key_alias	aws_paymentcryptography_key	paymentcryptography
aws_pinpoint_email_template	aws_pinpoint_email	pinpoint
aws_quicksight_folder_membership	aws_quicksight_folder	quicksight
aws_quicksight_ingestion	aws_quicksight	quicksight
aws_ram_resource_share_accepter	aws_ram_resource_share	ram
aws_ram_sharing_with_organization	aws_ram	ram
aws_rds_certificate	aws_rds	rds
aws_rds_cluster_activity_stream	aws_rds_cluster	rds
aws_rds_custom_db_engine_version	aws_rds	rds
aws_rds_instance_state	aws_rds	rds
aws_redshift_data_share_consumer_association	aws_redshift_data_share	redshift
aws_redshiftserverless_custom_domain_association	aws_redshiftserverless	redshiftserverless
aws_resiliencehub_resiliency_policy	aws_resiliencehub	resiliencehub
aws_route53profiles_association	aws_route53profiles	route53profiles
aws_route53profiles_resource_association	aws_route53profiles	route53profiles
aws_s3_bucket_object	aws_s3_bucket	s3
aws_s3_object	aws_s3	s3,s3control
aws_s3_object_copy	aws_s3	s3,s3control
aws_s3control_access_grants_instance_resource_policy	aws_s3control_access_grants_instance	s3control
aws_s3control_access_point_policy	aws_s3control_access	s3control
aws_s3control_bucket	aws_s3control	s3control
aws_s3control_bucket_lifecycle_configuration	aws_s3control	s3control
aws_s3control_bucket_policy	aws_s3control	s3control
aws_s3control_multi_region_access_point_policy	aws_s3control_multi_region_access_point	s3control
aws_s3control_object_lambda_access_point_policy	aws_s3control_object_lambda_access_point	s3control
aws_s3tables_table_bucket_policy	aws_s3tables_table_bucket	s3tables
aws_s3tables_table_policy	aws_s3tables_table	s3tables
aws_sagemaker_servicecatalog_portfolio_status	aws_sagemaker	sagemaker
aws_secretsmanager_secret_version	aws_secretsmanager_secret	secretsmanager
aws_securityhub_configuration_policy_association	aws_securityhub_configuration_policy	securityhub
aws_securityhub_invite_accepter	aws_securityhub	securityhub
aws_securityhub_standards_control_association	aws_securityhub_standards_control	securityhub
aws_securitylake_subscriber_notification	aws_securitylake_subscriber	securitylake
aws_servicecatalog_budget_resource_association	aws_servicecatalog	servicecatalog
aws_servicecatalog_organizations_access	aws_servicecatalog	servicecatalog
aws_servicequotas_template_association	aws_servicequotas_template	servicequotas
aws_ses_identity_policy	aws_ses_identity	ses
aws_sesv2_email_identity_policy	aws_sesv2_email_identity	sesv2
aws_sns_sms_preferences	aws_sns	sns
aws_sns_topic_policy	aws_sns_topic	sns
aws_spot_datafeed_subscription	aws_spot	ec2
aws_sqs_queue_policy	aws_sqs_queue	sqs
aws_sqs_queue_redrive_allow_policy	aws_sqs_queue	sqs
aws_sqs_queue_redrive_policy	aws_sqs_queue	sqs
aws_ssm_service_setting	aws_ssm	ssm
aws_transfer_tag	aws_transfer	transfer
aws_verifiedaccess_instance_logging_configuration	aws_verifiedaccess_instance	ec2
aws_verifiedaccess_instance_trust_provider_attachment	aws_verifiedaccess_instance	ec2
aws_vpc_block_public_access_exclusion	aws_vpc	ec2
aws_vpc_block_public_access_options	aws_vpc	ec2
aws_vpc_dhcp_options_association	aws_vpc_dhcp_options	ec2
aws_vpc_endpoint_connection_accepter	aws_vpc_endpoint_connection	ec2
aws_vpc_endpoint_policy	aws_vpc_endpoint	ec2
aws_vpc_endpoint_route_table_association	aws_vpc_endpoint	ec2
aws_vpc_endpoint_security_group_association	aws_vpc_endpoint	ec2
aws_vpc_endpoint_service_allowed_principal	aws_vpc_endpoint_service	ec2
aws_vpc_endpoint_service_private_dns_verification	aws_vpc_endpoint_service	ec2
aws_vpc_endpoint_subnet_association	aws_vpc_endpoint	ec2
aws_vpc_ipam_organization_admin_account	aws_vpc_ipam	ec2
aws_vpc_ipam_preview_next_cidr	aws_vpc_ipam	ec2
aws_vpc_peering_connection_accepter	aws_vpc_peering_connection	ec2
aws_vpc_security_group_vpc_association	aws_vpc_security_group	ec2
aws_vpn_gateway_attachment	aws_vpn_gateway	ec2
aws_wafregional_web_acl_association	aws_wafregional_web_acl	wafregional
