aws_dx_hosted_public_virtual_interface_accepter	directconnect.DescribeHostedConnections;directconnect.DescribeVirtualGateways;directconnect.DescribeVirtualInterfaces;directconnect.ListVirtualInterfaceTestHistory
aws_dx_hosted_transit_virtual_interface	directconnect.DescribeHostedConnections;directconnect.DescribeVirtualGateways;directconnect.DescribeVirtualInterfaces;directconnect.ListVirtualInterfaceTestHistory
aws_dx_hosted_transit_virtual_interface_accepter	directconnect.DescribeHostedConnections;directconnect.DescribeVirtualGateways;directconnect.DescribeVirtualInterfaces;directconnect.ListVirtualInterfaceTestHistory
aws_dynamodb_resource_policy	dynamodb.GetResourcePolicy;dynamodb.ListTagsOfResource
aws_dynamodb_table_item	dynamodb.BatchGetItem;dynamodb.GetItem
aws_dynamodb_tag	dynamodb.ListTagsOfResource
aws_ebs_fast_snapshot_restore	ec2.DescribeFastLaunchImages;ec2.DescribeFastSnapshotRestores;ec2.DescribeImportSnapshotTasks;ec2.DescribeLockedSnapshots
aws_ebs_snapshot_import	ec2.DescribeImportImageTasks;ec2.DescribeImportSnapshotTasks
aws_ec2_availability_zone_group	ec2.DescribeAvailabilityZones;ec2.DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations;ec2.DescribeLocalGatewayVirtualInterfaceGroups;ec2.DescribePlacementGroups
aws_ec2_capacity_block_reservation	ec2.DescribeCapacityBlockExtensionHistory;ec2.DescribeCapacityBlockExtensionOfferings;ec2.DescribeCapacityBlockOfferings;ec2.DescribeCapacityBlockStatus
aws_ec2_instance_metadata_defaults	ec2.DescribeInstanceImageMetadata;ec2.GetInstanceMetadataDefaults
aws_ec2_instance_state	ec2.DescribeInstanceSqlHaHistoryStates;ec2.DescribeInstanceSqlHaStates;ec2.GetImageBlockPublicAccessState;ec2.GetSnapshotBlockPublicAccessState
aws_ec2_tag	ec2.DescribeTags;ec2.GetCapacityManagerMonitoredTagKeys
aws_ec2_transit_gateway_default_route_table_association	ec2.DescribeClientVpnRoutes;ec2.DescribeIamInstanceProfileAssociations;ec2.DescribeIpamResourceDiscoveryAssociations;ec2.DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations
aws_ec2_transit_gateway_default_route_table_propagation	ec2.DescribeClientVpnRoutes;ec2.DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations;ec2.DescribeLocalGatewayRouteTableVpcAssociations;ec2.DescribeLocalGatewayRouteTables
aws_ec2_transit_gateway_policy_table_association	ec2.DescribeIamInstanceProfileAssociations;ec2.DescribeIpamResourceDiscoveryAssociations;ec2.DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations;ec2.DescribeLocalGatewayRouteTableVpcAssociations
aws_ecr_repository_creation_template	ecr.DescribeRepositoryCreationTemplates
aws_ecs_account_setting_default	ecs.ListAccountSettings
aws_ecs_tag	ecs.ListTagsForResource
aws_eks_access_entry	eks.DescribeAccessEntry;eks.ListAccessEntries;eks.ListAccessPolicies;eks.ListAssociatedAccessPolicies
aws_eks_access_policy_association	eks.DescribeAccessEntry;eks.DescribePodIdentityAssociation;eks.ListAccessEntries;eks.ListAccessPolicies
aws_elastictranscoder_preset	elastictranscoder.ListPresets
aws_emr_block_public_access_configuration	emr.DescribeSecurityConfiguration;emr.GetBlockPublicAccessConfiguration;emr.ListSecurityConfigurations
aws_evidently_feature	evidently.GetFeature;evidently.ListFeatures
aws_evidently_launch	evidently.GetLaunch;evidently.ListLaunches
aws_evidently_segment	evidently.GetSegment;evidently.ListSegmentReferences;evidently.ListSegments
aws_iam_group_policies_exclusive	iam.ListAttachedGroupPolicies;iam.ListAttachedRolePolicies;iam.ListAttachedUserPolicies;iam.ListGroupPolicies
aws_iam_organizations_features	iam.GetOrganizationsAccessReport;iam.ListOrganizationsFeatures
aws_iam_role_policies_exclusive	iam.ListAttachedGroupPolicies;iam.ListAttachedRolePolicies;iam.ListAttachedUserPolicies;iam.ListGroupPolicies
aws_iam_security_token_service_preferences	iam.GetServiceLastAccessedDetails;iam.GetServiceLastAccessedDetailsWithEntities;iam.GetServiceLinkedRoleDeletionStatus;iam.ListPoliciesGrantingServiceAccess
aws_iam_user_login_profile	iam.GetInstanceProfile;iam.GetLoginProfile;iam.ListInstanceProfileTags;iam.ListInstanceProfiles
aws_iam_user_policies_exclusive	iam.ListAttachedGroupPolicies;iam.ListAttachedRolePolicies;iam.ListAttachedUserPolicies;iam.ListGroupPolicies
aws_inspector_resource_group	inspector.DescribeResourceGroups;inspector.ListTagsForResource
aws_internet_gateway_attachment	ec2.DescribeTransitGatewayAttachments;ec2.DescribeTransitGatewayPeeringAttachments;ec2.DescribeTransitGatewayVpcAttachments;ec2.GetTransitGatewayAttachmentPropagations
aws_iot_event_configurations	iot.DescribeEventConfigurations;iot.ListDomainConfigurations;iot.ListViolationEvents
aws_iot_indexing_configuration	iot.DescribeAccountAuditConfiguration;iot.DescribeDomainConfiguration;iot.DescribeEncryptionConfiguration;iot.DescribeEventConfigurations
aws_iot_logging_options	iot.GetLoggingOptions;iot.GetV2LoggingOptions;iot.ListV2LoggingLevels
aws_kms_key_policy	kms.GetKeyPolicy
aws_lakeformation_permissions	lakeformation.GetEffectivePermissionsForPath;lakeformation.ListPermissions
aws_lakeformation_resource_lf_tag	lakeformation.GetLFTag;lakeformation.GetLFTagExpression;lakeformation.GetResourceLFTags;lakeformation.ListLFTagExpressions
aws_lakeformation_resource_lf_tags	lakeformation.GetLFTag;lakeformation.GetLFTagExpression;lakeformation.GetResourceLFTags;lakeformation.ListLFTagExpressions
aws_lambda_function_recursion_config	lambda.GetCodeSigningConfig;lambda.GetFunctionCodeSigningConfig;lambda.GetFunctionConfiguration;lambda.GetFunctionEventInvokeConfig
aws_lb_cookie_stickiness_policy	elasticloadbalancingv2.GetResourcePolicy
aws_lb_ssl_negotiation_policy	elasticloadbalancingv2.DescribeSSLPolicies;elasticloadbalancingv2.GetResourcePolicy
aws_licensemanager_association	licensemanager.ListAssociationsForLicenseConfiguration
aws_macie2_invitation_accepter	macie2.GetInvitationsCount;macie2.ListInvitations
aws_media_store_container_policy	mediastore.GetContainerPolicy;mediastore.GetCorsPolicy;mediastore.GetLifecyclePolicy;mediastore.GetMetricPolicy
aws_network_acl_association	ec2.DescribeIamInstanceProfileAssociations;ec2.DescribeIpamResourceDiscoveryAssociations;ec2.DescribeLocalGatewayRouteTableVirtualInterfaceGroupAssociations;ec2.DescribeLocalGatewayRouteTableVpcAssociations
aws_network_interface_attachment	ec2.DescribeTransitGatewayAttachments;ec2.DescribeTransitGatewayPeeringAttachments;ec2.DescribeTransitGatewayVpcAttachments;ec2.GetTransitGatewayAttachmentPropagations
aws_network_interface_sg_attachment	ec2.DescribeTransitGatewayAttachments;ec2.DescribeTransitGatewayPeeringAttachments;ec2.DescribeTransitGatewayVpcAttachments;ec2.DescribeVerifiedAccessGroups
aws_networkmanager_attachment_accepter	networkmanager.GetConnectAttachment;networkmanager.GetDirectConnectGatewayAttachment;networkmanager.GetSiteToSiteVpnAttachment;networkmanager.GetTransitGatewayRouteTableAttachment
aws_networkmanager_core_network_policy_attachment	networkmanager.GetConnectAttachment;networkmanager.GetCoreNetworkPolicy;networkmanager.GetDirectConnectGatewayAttachment;networkmanager.GetResourcePolicy
aws_networkmanager_customer_gateway_association	networkmanager.GetConnectPeerAssociations;networkmanager.GetCustomerGatewayAssociations;networkmanager.GetDirectConnectGatewayAttachment;networkmanager.GetLinkAssociations
aws_networkmanager_link_association	networkmanager.GetConnectPeerAssociations;networkmanager.GetCustomerGatewayAssociations;networkmanager.GetLinkAssociations;networkmanager.GetTransitGatewayConnectPeerAssociations
aws_networkmanager_transit_gateway_connect_peer_association	networkmanager.GetConnectAttachment;networkmanager.GetConnectPeer;networkmanager.GetConnectPeerAssociations;networkmanager.GetConnections
aws_opensearch_authorize_vpc_endpoint_access	opensearch.DescribeVpcEndpoints;opensearch.ListVpcEndpointAccess;opensearch.ListVpcEndpoints;opensearch.ListVpcEndpointsForDomain
aws_opensearch_inbound_connection_accepter	opensearch.DescribeInboundConnections;opensearch.DescribeOutboundConnections
aws_opsworks_permission	opsworks.DescribePermissions
aws_organizations_resource_policy	organizations.DescribeEffectivePolicy;organizations.DescribePolicy;organizations.DescribeResourcePolicy;organizations.ListAccountsWithInvalidEffectivePolicy
aws_paymentcryptography_key_alias	paymentcryptography.GetAlias;paymentcryptography.ListAliases
aws_pinpoint_email_template	pinpoint.GetEmailTemplate;pinpoint.GetInAppTemplate;pinpoint.GetPushTemplate;pinpoint.GetSmsTemplate
aws_quicksight_folder_membership	quicksight.DescribeGroupMembership;quicksight.ListGroupMemberships;quicksight.ListRoleMemberships
aws_quicksight_ingestion	quicksight.DescribeIngestion;quicksight.ListIngestions
aws_rds_certificate	rds.DescribeCertificates
aws_rds_custom_db_engine_version	rds.DescribeDBClusterAutomatedBackups;rds.DescribeDBClusterBacktracks;rds.DescribeDBClusterEndpoints;rds.DescribeDBClusterParameterGroups
aws_rds_instance_state	rds.DescribeDBInstanceAutomatedBackups;rds.DescribeDBInstances;rds.DescribeOrderableDBInstanceOptions;rds.DescribeReservedDBInstances
aws_redshift_data_share_consumer_association	redshift.DescribeCustomDomainAssociations;redshift.DescribeDataSharesForConsumer
aws_redshiftserverless_custom_domain_association	redshiftserverless.GetCustomDomainAssociation;redshiftserverless.ListCustomDomainAssociations
aws_resiliencehub_resiliency_policy	resiliencehub.DescribeResiliencyPolicy;resiliencehub.ListResiliencyPolicies;resiliencehub.ListSuggestedResiliencyPolicies
aws_route53profiles_association	route53profiles.GetProfileAssociation;route53profiles.GetProfileResourceAssociation;route53profiles.ListProfileAssociations;route53profiles.ListProfileResourceAssociations
aws_route53profiles_resource_association	route53profiles.GetProfileAssociation;route53profiles.GetProfileResourceAssociation;route53profiles.ListProfileAssociations;route53profiles.ListProfileResourceAssociations
aws_s3_bucket_object	s3.GetObject;s3.GetObjectAcl;s3.GetObjectAttributes;s3.GetObjectLegalHold
aws_s3_object	s3.GetObject;s3.GetObjectAcl;s3.GetObjectAttributes;s3.GetObjectLegalHold
aws_s3_object_copy	s3.GetObject;s3.GetObjectAcl;s3.GetObjectAttributes;s3.GetObjectLegalHold
aws_s3control_access_grants_instance_resource_policy	s3control.GetAccessGrantsInstanceResourcePolicy;s3control.GetAccessPointPolicy;s3control.GetAccessPointPolicyForObjectLambda;s3control.GetAccessPointPolicyStatus
aws_s3control_access_point_policy	s3control.DescribeMultiRegionAccessPointOperation;s3control.GetAccessGrantsInstanceResourcePolicy;s3control.GetAccessPoint;s3control.GetAccessPointConfigurationForObjectLambda
aws_s3control_bucket	s3control.GetBucket;s3control.GetBucketLifecycleConfiguration;s3control.GetBucketPolicy;s3control.GetBucketReplication
aws_s3control_bucket_lifecycle_configuration	s3control.GetAccessPointConfigurationForObjectLambda;s3control.GetBucket;s3control.GetBucketLifecycleConfiguration;s3control.GetBucketPolicy
aws_s3control_bucket_policy	s3control.GetAccessGrantsInstanceResourcePolicy;s3control.GetAccessPointPolicy;s3control.GetAccessPointPolicyForObjectLambda;s3control.GetAccessPointPolicyStatus
